0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
n_frames,Количество окон,7.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,7.0,5.0,5.0,5.0
n_ticks,Тиков в окне,12.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,17.0,16.0,13.0,14.0,15.0,14.0,16.0,16.0,16.0
shift_gest_beg,Сдвиг,5.0,3.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
learning_rate_1,Скорость обучения,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
learning_rate_2,Скорость дообучения,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
epochs_1,Эпох обучения,100.0,100.0,100.0,100.0,100.0,150.0,200.0,210.0,140.0,160.0,170.0,180.0,180.0,180.0,100.0,150.0,150.0,150.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
epochs_2,Эпох дообучения,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
metric_,метрика,0.7048099301784329,0.7061460218946642,0.6901560210326696,0.7070080165502974,0.7007154555641755,0.7209723299715541,0.7105421946383932,0.6920093095422808,0.6920093095422808,0.7025687440737868,0.7034307387294199,0.7124816826135678,0.7124816826135678,0.721748125161624,0.7077407120075856,0.698517369192311,0.7010602534264287,0.7096801999827601,0.7054564261701577,0.71019739677614,0.71019739677614,0.700155159038014,0.7054564261701577,0.7038186363244547,0.7080855098698388,0.7102835962417033,0.7094216015860701,0.7080855098698388,0.7048961296439962,0.6834324627187311,0.703042841134385,0.703042841134385,0.703042841134385
