0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
n_frames,Количество окон,7.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,7.0,5.0,5.0,5.0
n_ticks,Тиков в окне,12.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,17.0,16.0,13.0,14.0,15.0,14.0,16.0,16.0,16.0
shift_gest_beg,Сдвиг,10.0,8.0,7.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,10.0,7.0,7.0,10.0,10.0,10.0,10.0,9.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
learning_rate_1,Скорость обучения,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
learning_rate_2,Скорость дообучения,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
epochs_1,Эпох обучения,100.0,100.0,100.0,100.0,100.0,150.0,200.0,210.0,140.0,150.0,160.0,145.0,150.0,150.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
epochs_2,Эпох дообучения,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
metric_,метрика,0.7912609238451935,0.8168539325842696,0.82555139409072,0.8260507698709946,0.796795672076571,0.8158967956720766,0.8158967956720766,0.8119434040782355,0.8119434040782355,0.8135663753641281,0.8126924677486476,0.8064086558468581,0.8135663753641281,0.8045359966708281,0.8117769454848106,0.801123595505618,0.809571369121931,0.8040366208905535,0.8040366208905535,0.8056595921764461,0.8056595921764461,0.8184769038701623,0.8004161464835622,0.8040366208905535,0.793424885559717,0.8040366208905535,0.8084893882646692,0.7865168539325843,0.7831044527673742,0.7669579692051602,0.814107365792759,0.814107365792759,0.814107365792759
