0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
n_frames,Количество окон,7.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,7.0,5.0,5.0,5.0
n_ticks,Тиков в окне,12.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,17.0,16.0,13.0,14.0,15.0,14.0,16.0,16.0,16.0
shift_gest_beg,Сдвиг,5.0,3.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
learning_rate_1,Скорость обучения,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
learning_rate_2,Скорость дообучения,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
epochs_1,Эпох обучения,100.0,100.0,100.0,100.0,100.0,150.0,200.0,210.0,210.0,220.0,210.0,205.0,210.0,210.0,100.0,210.0,210.0,210.0,200.0,200.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
epochs_2,Эпох дообучения,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
metric_,метрика,0.7887129481813867,0.779781680113906,0.7830607930275705,0.7812055054579972,0.772964576951288,0.7912585753117315,0.8014410838331104,0.8116235923544893,0.8116235923544893,0.8035983949605212,0.8116235923544893,0.8076972861026017,0.8116235923544893,0.8090779652241447,0.79855028692238,0.7915174526470208,0.8116235923544893,0.8090779652241447,0.7947534193381369,0.7766320058678863,0.7829313543599258,0.7788756094403935,0.7953143202312638,0.78016999611684,0.7874617077274885,0.7953143202312638,0.7810329205678043,0.7798679725590024,0.7779695387668809,0.7508305647840532,0.7774517840963023,0.7774517840963023,0.7774517840963023
